BOTTLE,20020814WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 14, 2002
#original HYD file: i08shy.txt   Wed Aug 14 15:04:34 2002
#original SUM file: i08ssu.txt   Wed Jun 16 11:13:01 1999
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,IPTS-68
     316N145_5,  I08S,     4,  1,     16, 021,2,19941205,0313,-30.3000,  94.9945, 1945,   1310.3,   3.6814,  34.5306,1,  34.5319,2,    149.7,1,    148.8,2,    72.41,2,    34.24,2,     0.00,2,     2.45,2,    0.033,2,    0.020,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,13079.1,  -999.0,-999.0000,-999.000,-999.000,  3.5824
     316N145_5,  I08S,     4,  1,     15, 022,2,19941205,0313,-30.3000,  94.9945, 1945,   1310.6,   3.6811,  34.5312,1,  34.5315,2,    149.7,1,    148.6,2,    72.42,2,    34.24,2,     0.00,2,     2.46,2,    0.021,2,    0.025,2, -999.000,5,   1.8430,5,     9.18,2,   -143.9,2,      0.5,2,   7.883,2,   2255.3,6,   -999.0,5,   -999.0,9,13082.0,     3.0,  0.0020,   0.120,   0.045,  3.5820
     316N145_5,  I08S,     4,  1,     13, 024,2,19941205,0313,-30.3000,  94.9945, 1945,   1410.9,   3.5063,  34.5669,1,  34.5661,2,    147.4,1,    146.3,2,    78.59,2,    34.48,2,     0.00,2,     2.48,2,    0.029,2,    0.014,2, -999.000,5,   1.9200,5,     9.67,2,   -161.2,2,      0.4,2,   8.162,2,   -999.0,9,   -999.0,5,   -999.0,9,14079.0,     3.0,  0.0020,   0.120,   0.023,  3.4004
     316N145_5,  I08S,     4,  1,     14, 023,2,19941205,0313,-30.3000,  94.9945, 1945,   1411.7,   3.5063,  34.5668,1,  34.5663,2,    147.4,1,    144.6,2,    78.76,2,    34.48,2,     0.00,2,     2.48,2,    0.014,2,    0.012,2, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2263.9,6,   -999.0,5,   2361.1,2,14087.9,  -999.0,-999.0000,-999.000,-999.000,  3.4004
     316N145_5,  I08S,     4,  1,     11, 026,2,19941205,0313,-30.3000,  94.9945, 1945,   1512.8,   3.3122,  34.5946,1,  34.5952,2,    145.9,1,    144.6,2,    83.06,2,    34.54,2,     0.00,2,     2.47,2,    0.018,3,    0.003,2, -999.000,5,   1.8680,5,    10.55,2,   -169.8,2,      0.4,2,   8.005,2,   -999.0,9,   -999.0,5,   2357.4,2,15092.2,     2.4,  0.0020,   0.120,   0.024,  3.1996
     316N145_5,  I08S,     4,  1,     12, 003,2,19941205,0313,-30.3000,  94.9945, 1945,   1513.6,   3.3128,  34.5942,1,  34.5952,2,    145.9,1,    145.1,2,    83.05,2,    34.43,2,     0.00,2,     2.48,2,    0.042,4,    0.038,4, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   2267.7,6,   -999.0,5,   2348.9,2,15100.1,  -999.0,-999.0000,-999.000,-999.000,  3.2002
     316N145_5,  I08S,     4,  1,     10, 027,2,19941205,0313,-30.3000,  94.9945, 1945,   1613.8,   3.1207,  34.6163,1,  34.6166,2,    146.8,1,    146.9,2,    86.32,2,    34.32,2,     0.00,2,     2.46,2,    0.016,3,    0.009,3, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   2360.8,2,16096.6,  -999.0,-999.0000,-999.000,-999.000,  3.0017
     316N145_5,  I08S,     4,  1,      9, 028,2,19941205,0313,-30.3000,  94.9945, 1945,   1613.9,   3.1210,  34.6158,1,  34.6164,2,    146.8,1,    146.2,2,    86.32,2,    34.20,2,     0.00,2,     2.46,2,    0.576,4,    0.621,4, -999.000,5,   2.0790,5,     8.02,3,   -171.5,2,      0.4,2,   8.514,4,   2270.5,6,   -999.0,5,   2365.6,2,16097.9,     4.0,  0.0020,   0.120,   0.044,  3.0020
     316N145_5,  I08S,     4,  1,      7, 030,2,19941205,0313,-30.3000,  94.9945, 1945,   1717.1,   2.9721,  34.6415,1,  34.6423,2,    148.6,1,    148.4,2,    90.10,2,    33.92,2,     0.00,2,     2.45,2,    0.010,3,    0.007,3, -999.000,5,   2.1190,5,     9.07,3,   -167.6,2,      0.3,2,   8.731,4,   2274.1,2,   -999.0,5,   2361.5,2,17123.5,     2.8,  0.0020,   0.120,   0.038,  2.8460
     316N145_5,  I08S,     4,  1,      8, 029,3,19941205,0313,-30.3000,  94.9945, 1945,   1725.7,   2.9716,  34.6376,1,  34.6435,2,    148.6,1,   -999.0,9,    89.93,2,    33.98,2,     0.00,2,     2.44,2, -999.000,9, -999.000,9, -999.000,5,-999.0000,5,  -999.00,9,   -999.0,9,   -999.0,9,-999.000,9,   -999.0,9,   -999.0,5,   -999.0,9,17208.7,  -999.0,-999.0000,-999.000,-999.000,  2.8448
