BOTTLE,20061130WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20061129
#original HYD file: a21hy.txt   Thu Nov 30 10:52:18 2006
#original SUM file: a21su.txt   Thu Nov 30 10:48:33 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,HELIER,TRITER,NEONER,DELHER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,ITS-90,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,UMOL/KG,,UATM,,NMOL/KG,TU,NMOL/KG,PERCNT
      06MT11_5,   A21,   103,  1,     20,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    298.2,   5.1341,  34.2017,2,  34.2030,2,   -999.0,9,  5.1106,    295.7,2,     9.01,2,    21.87,2,     0.00,2,     1.60,2,    4.028,2,    1.903,2,    0.222,2,   1.7632,2,    -1.40,2,   7.650,2,   2113.1,2,   -999.0,5,  0.0035,   0.017,   0.021,   0.200
      06MT11_5,   A21,   103,  1,     19,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    401.6,   5.0562,  34.2031,2,  34.2050,2,   -999.0,9,  5.0245,    297.7,2,     9.43,2,    22.08,2,     0.00,2,     1.57,2,    3.977,2,    1.904,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2116.1,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     18,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    499.4,   4.9423,  34.2053,2,  34.2060,2,   -999.0,9,  4.9030,    289.1,2,    10.79,2,    23.30,2,     0.00,2,     1.65,2,    3.639,2,    1.736,2, -999.000,5,   1.7726,2,    -0.90,2,   7.696,2,   2122.9,2,   -999.0,5,  0.0035,-999.000,   0.022,   0.200
      06MT11_5,   A21,   103,  1,     17,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    599.7,   4.7365,  34.2023,2,  34.2040,2,   -999.0,9,  4.6898,    279.7,2,    13.32,2,    24.38,2,     0.00,2,     1.71,2,    3.248,2,    1.533,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2131.2,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     16,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    701.9,   4.4858,  34.2000,2,  34.2030,2,   -999.0,9,  4.4320,    270.9,2,    16.56,2,    25.87,2,     0.00,2,     1.81,2,    2.964,2,    1.390,2,    0.085,6,-999.0000,5,  -999.00,5,-999.000,5,   2142.5,2,   -999.0,5,-999.0000,   0.011,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     15,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    849.3,   4.1572,  34.2456,2,  34.2470,2,   -999.0,9,  4.0932,    235.4,2,    27.07,2,    29.44,2,     0.00,2,     2.04,2,    1.665,2,    0.787,2, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2170.7,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     14,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,    998.1,   3.6038,  34.2958,2,  34.2980,2,   -999.0,9,  3.5317,    209.3,2,    38.99,2,    31.78,2,     0.00,2,     2.22,2,    0.983,2,    0.477,2,    0.046,6,   1.7922,2,     3.50,2,   7.819,2,   2193.0,2,   -999.0,5,  0.0036,   0.011,   0.022,   0.200
      06MT11_5,   A21,   103,  1,     13,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   1203.0,   3.0065,  34.3793,2,  34.3810,2,   -999.0,9,  2.9231,    201.7,2,    55.37,2,    33.71,2,     0.00,2,     2.36,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2224.1,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     12,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   1398.0,   2.6999,  34.4783,2,  34.4800,2,   -999.0,9,  2.6039,    174.2,2,    71.29,2,    34.98,2,     0.00,2,     2.47,2,    0.238,2,    0.123,2,    0.001,6,   1.8140,2,     9.30,2,   7.880,2,   2247.1,2,   -999.0,5,  0.0036,   0.018,   0.022,   0.200
      06MT11_5,   A21,   103,  1,     11,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   1600.8,   2.4921,  34.5561,2,  34.5550,2,   -999.0,9,  2.3821,    165.4,2,    79.94,2,    35.05,2,     0.00,2,     2.46,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2254.1,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
      06MT11_5,   A21,   103,  1,     10,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   1801.0,   2.3203,  34.6204,2,  34.6210,2,   -999.0,9,  2.1959,    159.1,2,    93.84,2,    35.48,2,     0.00,2,     2.48,2,    0.029,2,    0.023,2,   -0.010,2,   1.8520,2,    15.70,2,   7.945,2,   2268.4,2,   -999.0,5,  0.0037,   0.009,   0.022,   0.200
      06MT11_5,   A21,   103,  1,      9,   -999,2,19900124,1232,-56.9167, -68.2500, 3090,   1998.7,   2.2274,  34.6424,2,  34.6410,2,   -999.0,9,  2.0876,    160.6,2,    98.77,2,    34.70,2,     0.00,2,     2.46,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   2279.0,2,   -999.0,5,-999.0000,-999.000,-999.000,-999.000
