EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,NH4,NH4_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,DOC,DOC_FLAG_W,THETA
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEG C,UMOL/KG,,DEG C
  33RO20070710,GOMECC,2,1,212,12,9,20070711,726,28.6838,-94.9997,27,4.1,29.328,28.213,2,-999,9,211.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.327
  33RO20070710,GOMECC,2,1,213,13,2,20070711,726,28.6838,-94.9997,27,4.1,29.324,28.213,2,-999,9,211.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.323
  33RO20070710,GOMECC,2,1,214,14,4,20070711,727,28.6838,-94.9997,27,4.2,29.332,28.215,2,-999,9,212.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,29.331
  33RO20070710,GOMECC,3,1,301,1,2,20070711,1052,28.3325,-95.0007,35,31.4,26.838,36.366,2,36.291,4,200.3,2,204.3,2,1,2,0,2,0.02,2,0.04,2,0.13,2,1.98,2,1.88,2,0.25,2,2067.2,2,2414.1,2,301.2,2,20,100,2,26.8308
  33RO20070710,GOMECC,3,1,303,3,9,20070711,1052,28.3325,-95.0007,35,31.5,26.822,36.367,2,-999,9,200.1,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.8148
  33RO20070710,GOMECC,3,1,304,4,2,20070711,1055,28.3325,-95.0007,35,19.5,28.172,35.555,2,35.57,2,193.9,2,202,2,0.4,2,0,2,0.03,2,0.03,2,0.15,2,1.58,2,0.68,2,0.05,2,2065.3,2,2417.5,2,294.8,2,20,-999,9,28.1674
  33RO20070710,GOMECC,3,1,305,5,9,20070711,1055,28.3325,-95.0007,35,19.5,28.17,35.569,2,35.57,2,193.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.1654
  33RO20070710,GOMECC,3,1,306,6,2,20070711,1057,28.3325,-95.0007,35,9.3,28.634,32.813,2,32.778,2,199.5,2,206.3,2,1.2,2,0.1,2,0.01,2,0.04,2,0.13,2,1.48,2,1.35,2,0.12,2,2028.6,2,2385.8,2,259.3,2,20,107.3,2,28.6318
  33RO20070710,GOMECC,3,1,307,7,9,20070711,1057,28.3325,-95.0007,35,9.2,28.642,32.789,2,32.778,2,199.7,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.6398
  33RO20070710,GOMECC,3,1,308,8,2,20070711,1058,28.3325,-95.0007,35,3.8,28.65,32.756,2,32.763,2,199.2,2,221.6,3,0.4,2,0,2,0.03,2,0.02,2,0.14,2,-999,9,-999,9,-999,9,2027.7,2,2389.3,2,257.2,2,20,85.4,2,28.6491
  33RO20070710,GOMECC,3,1,309,9,9,20070711,1058,28.3325,-95.0007,35,4.1,28.651,32.756,2,-999,9,199.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.65
  33RO20070710,GOMECC,3,1,310,10,9,20070711,1058,28.3325,-95.0007,35,4.1,28.653,32.755,2,-999,9,199.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.652
  33RO20070710,GOMECC,3,1,311,11,9,20070711,1059,28.3325,-95.0007,35,4,28.653,32.756,2,-999,9,199.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.652
  33RO20070710,GOMECC,3,1,312,12,9,20070711,1059,28.3325,-95.0007,35,4.3,28.653,32.756,2,-999,9,199.5,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.652
  33RO20070710,GOMECC,3,1,313,13,9,20070711,1059,28.3325,-95.0007,35,4.1,28.653,32.756,2,-999,9,199.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.652
  33RO20070710,GOMECC,3,1,314,14,9,20070711,1059,28.3325,-95.0007,35,4,28.652,32.756,2,-999,9,199.2,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.651
  33RO20070710,GOMECC,4,1,401,1,2,20070711,1308,28.0838,-95,55,50.3,22.909,36.418,2,36.423,2,216.4,2,220.7,6,1.2,2,0.1,2,0.03,2,0.03,2,0.19,2,-999,9,-999,9,-999,9,2071.5,2,2417.3,2,309.4,2,20,-999,9,22.8987
  33RO20070710,GOMECC,4,1,403,3,2,20070711,1308,28.0838,-95,55,50.2,22.911,36.419,2,-999,9,216.3,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,22.9007
  33RO20070710,GOMECC,4,1,404,4,2,20070711,1310,28.0838,-95,55,40.5,24.17,36.457,2,36.461,2,215.9,2,203.5,3,0.9,2,0,2,0.01,2,0,2,0.16,2,-999,9,-999,9,-999,9,2067,2,2415.1,2,302.7,2,20,68.2,2,24.1614
  33RO20070710,GOMECC,4,1,405,5,2,20070711,1310,28.0838,-95,55,40.5,24.17,36.454,2,-999,9,215.9,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,24.1614
  33RO20070710,GOMECC,4,1,406,6,2,20070711,1312,28.0838,-95,55,30,26.278,36.399,2,36.4,2,204,2,213.4,2,1,2,0,2,0.01,2,0.03,2,0.03,2,-999,9,-999,9,-999,9,2068.6,2,2416,2,302.1,2,20,-999,9,26.2712
  33RO20070710,GOMECC,4,1,407,7,2,20070711,1312,28.0838,-95,55,30.1,26.286,36.396,2,-999,9,204.4,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,26.2792
  33RO20070710,GOMECC,4,1,408,8,2,20070711,1314,28.0838,-95,55,20.4,28.301,35.056,2,35.139,4,195.1,2,202.2,2,0.9,2,0,2,0.01,2,0,2,0.13,2,-999,9,-999,9,-999,9,2052.6,2,2406.5,2,286.8,2,20,-999,9,28.2962
  33RO20070710,GOMECC,4,1,409,9,2,20070711,1314,28.0838,-95,55,20.3,28.235,35.096,2,-999,9,195,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.2302
  33RO20070710,GOMECC,4,1,410,10,2,20070711,1316,28.0838,-95,55,10.4,28.89,33.56,2,33.199,4,192.7,2,-999,5,0.5,2,0,2,0.02,2,0,2,0.05,2,-999,9,-999,9,-999,9,2033.3,2,2396.2,2,263.7,2,20,105.9,2,28.8875
  33RO20070710,GOMECC,4,1,411,11,2,20070711,1317,28.0838,-95,55,10.5,28.907,33.559,2,-999,9,192.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.9045
  33RO20070710,GOMECC,4,1,412,12,2,20070711,1318,28.0838,-95,55,4.3,28.885,33.057,2,33.064,2,193.7,2,201.5,2,0.5,2,0,2,0.02,2,0.02,2,0.17,2,-999,9,-999,9,-999,9,2025.3,6,2386.8,2,256.7,2,20,104,2,28.884
  33RO20070710,GOMECC,4,1,413,13,2,20070711,1318,28.0838,-95,55,4.1,28.883,33.059,2,-999,9,193.8,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,28.882
  33RO20070710,GOMECC,5,1,501,1,2,20070711,1551,27.833,-94.9998,217,218.6,14.935,35.951,2,35.944,2,122,2,126.7,2,9.8,2,16.8,2,0.03,2,0.97,2,0.16,2,-999,9,-999,9,-999,9,2176.8,2,2369.7,2,645.4,2,20,-999,9,14.9017
  33RO20070710,GOMECC,5,1,503,3,2,20070711,1553,27.833,-94.9998,217,193.1,15.796,36.085,2,-999,9,124.2,2,129.1,2,9.4,2,15.3,2,0.05,2,0.91,2,0.06,2,-999,9,-999,9,-999,9,2171.2,6,2358.9,2,617.3,2,20,-999,9,15.7654
  33RO20070710,GOMECC,5,1,504,4,2,20070711,1556,27.833,-94.9998,217,174.3,16.074,36.128,2,36.122,2,126.1,2,120.7,2,10.4,2,14.7,2,0.04,2,0.82,2,0.18,2,-999,9,-999,9,-999,9,2170.6,2,2367.5,2,596.9,2,20,-999,9,16.0461
  33RO20070710,GOMECC,5,1,505,5,2,20070711,1557,27.833,-94.9998,217,135.8,17.602,36.33,2,36.326,2,134.9,2,140.1,2,9.2,2,11.2,2,0.05,2,0.61,2,0.04,2,-999,9,-999,9,-999,9,2158.4,2,2378.5,2,521.3,2,20,-999,9,17.5789
  33RO20070710,GOMECC,5,1,506,6,2,20070711,1559,27.833,-94.9998,217,104,19.255,36.493,2,36.486,2,158.4,2,163,2,7.7,2,6.6,2,0.02,2,0.34,2,0.18,2,-999,9,-999,9,-999,9,2132.9,2,2389.8,2,431.5,2,20,54.9,2,19.2361
  33RO20070710,GOMECC,5,1,507,7,2,20070711,1604,27.833,-94.9998,217,75.6,21.032,36.51,2,36.521,2,198.4,2,202.7,2,6.3,2,0.9,2,0.16,2,0.1,2,0.1,2,-999,9,-999,9,-999,9,2098.6,2,2402.2,2,350,2,20,-999,9,21.0174
  33RO20070710,GOMECC,5,1,508,8,2,20070711,1606,27.833,-94.9998,217,55.3,22.231,36.438,2,36.439,2,216.9,2,223.1,2,1.2,2,0,2,0.01,2,0.02,2,0.15,2,-999,9,-999,9,-999,9,2074.9,2,2401.9,2,315,2,20,-999,9,22.2199
  33RO20070710,GOMECC,5,1,509,9,2,20070711,1607,27.833,-94.9998,217,44.7,23.486,36.392,2,36.396,2,214.6,2,222.9,2,1.3,2,0.8,2,0.01,2,0.13,2,2.75,2,-999,9,-999,9,-999,9,2074.1,2,2403,2,309.5,2,20,-999,9,23.4767
  33RO20070710,GOMECC,5,1,510,10,2,20070711,1609,27.833,-94.9998,217,35,25.738,36.328,2,36.343,2,201.6,2,213.6,2,1.2,2,0,2,0,2,0.01,2,0.2,2,-999,9,-999,9,-999,9,2072.6,2,2404.8,2,308.6,2,20,-999,9,25.7302
  33RO20070710,GOMECC,5,1,511,11,2,20070711,1610,27.833,-94.9998,217,24.8,27.676,35.807,2,35.911,4,198.3,2,206.6,2,0.9,2,0,2,0.02,2,0.01,2,0.11,2,-999,9,-999,9,-999,9,2061.3,2,2398.5,2,295.6,2,20,-999,9,27.6702
  33RO20070710,GOMECC,5,1,512,12,2,20070711,1612,27.833,-94.9998,217,8.5,29.215,33.945,2,33.947,2,191.3,2,198.6,2,0.7,2,0.1,2,0.01,2,0.04,2,1.82,2,-999,9,-999,9,-999,9,2021.3,2,2363,2,269.4,2,20,58.7,2,29.2129
  33RO20070710,GOMECC,5,1,513,13,2,20070711,1613,27.833,-94.9998,217,4.3,29.256,33.934,2,33.934,2,191.2,2,199.5,2,0.7,2,0.1,2,0,2,0,2,0.35,2,-999,9,-999,9,-999,9,2021,2,2362.4,2,271.3,2,20,98.2,2,29.255
