EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,DOC,DOCE,DOC_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,THETA
,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,,DEG C,UMOL/KG,UMOL/KG,,ug/kg,,ug/kg,,DEG C
  320619970113,     1,  2,     16,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5410,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5406
  320619970113,     1,  2,     13,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5390,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5386
  320619970113,     1,  2,      2,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5410,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5406
  320619970113,     1,  2,     19,2,19970113,0000,-76.5006, 168.9990,  732,      9.8,   0.5520,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5516
  320619970113,     1,  2,     15,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5390,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5386
  320619970113,     1,  8,     22,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.4070,  34.2940,2,    414.3,2,    52.36,2,    10.15,2,     0.11,2,     0.73,2,     0.27,2,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.4066
  320619970113,     1,  2,     18,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5450,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5446
  320619970113,     1,  2,      9,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5170,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5166
  320619970113,     1,  2,     14,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5390,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5386
  320619970113,     1,  2,     12,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5380,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5376
  320619970113,     1,  2,      1,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5510,  34.2240,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5506
  320619970113,     1,  2,     22,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5540,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5536
  320619970113,     1,  2,      6,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5070,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5066
  320619970113,     1,  2,      5,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5190,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5186
  320619970113,     1,  2,     10,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5200,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5196
  320619970113,     1,  2,     17,2,19970113,0000,-76.5006, 168.9990,  732,      9.9,   0.5430,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5426
  320619970113,     1,  2,      3,2,19970113,0000,-76.5006, 168.9990,  732,     10.0,   0.5350,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5346
  320619970113,     1,  2,     24,2,19970113,0000,-76.5006, 168.9990,  732,     10.0,   0.5480,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5476
  320619970113,     1,  2,     23,2,19970113,0000,-76.5006, 168.9990,  732,     10.0,   0.5480,  34.2250,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,     -999,9,   -999.0,9,   -999.0,9,     -999,   -999.0,   -999.0,9,     -999,9,     -999,9,   0.5476
