EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,O/OO,,O/OO,O/OO,,DEGC
  58JH19940723,  AR18,   577,  1,      5,    113,2,19940726, 66.5100,  -1.8280, 3576,   2248.8,  -0.9101,  34.9094,2,  34.9087,2,    294.5,2,    12.47,2,    15.00,2,     0.01,2,     1.10,2,    0.580,2, -999.000,5,    0.074,2,    1.355,2,   2164.9,2,    324.5,   -1.01868,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0187
  58JH19940723,  AR18,   577,  1,      4,    105,3,19940726, 66.5100,  -1.8280, 3576,   2498.1,  -0.9034,  34.9093,2,  34.9091,2,    298.3,2,    12.83,2,    15.04,2,     0.01,2,     1.10,2,    0.657,2, -999.000,5,    0.039,2,    1.417,2,   2166.7,2,    321.7,   -1.02951,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0295
  58JH19940723,  AR18,   577,  1,      3,    103,2,19940726, 66.5100,  -1.8280, 3576,   2750.2,  -0.8902,  34.9094,2,  34.9089,2,    296.6,2,    13.21,2,    15.11,2,     0.01,2,     1.11,2,    0.503,2, -999.000,5,    0.043,2,    1.115,2,   2165.6,2,    319.9,   -1.03521,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0352
  58JH19940723,  AR18,   577,  1,      2,    102,2,19940726, 66.5100,  -1.8280, 3576,   2999.2,  -0.8715,  34.9094,2,  34.9093,2,    296.6,2,    13.41,2,    15.08,2,     0.01,2,     1.10,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2166.6,2,    315.6,   -1.03634,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0363
  58JH19940723,  AR18,   577,  1,      1,    101,2,19940726, 66.5100,  -1.8280, 3576,   3484.2,  -0.8308,  34.9093,2,  34.9095,2,    297.3,2,    13.43,2,    15.12,2,     0.01,2,     1.13,2,    0.634,2, -999.000,5, -999.000,5,    1.341,2,   2165.8,2,    319.6,   -1.03731,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,  -1.0373
  58JH19940723,  AR18,   578,  2,     12,    110,2,19940726, 66.1660,  -2.6040, 3427,      3.5,   9.6242,  34.8295,2,  34.8342,2,    290.8,2,     0.47,2,     1.20,2,     0.08,2,     0.34,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   2080.3,2,    281.9,    9.62381,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   9.6238
  58JH19940723,  AR18,   578,  2,     11,    104,2,19940726, 66.1660,  -2.6040, 3427,      8.8,   9.5039,  34.8244,2,  34.8391,2,    291.3,2,     0.51,2,     1.25,2,     0.08,2,     0.35,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    9.50292,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   9.5029
  58JH19940723,  AR18,   578,  2,     10,    107,2,19940726, 66.1660,  -2.6040, 3427,     18.9,   8.1702,  34.8587,2,  34.8857,2,    304.4,2,     1.06,2,     2.31,2,     0.11,2,     0.42,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    8.16829,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   8.1683
  58JH19940723,  AR18,   578,  2,      9,    111,2,19940726, 66.1660,  -2.6040, 3427,     29.1,   6.5290,  34.9139,2,  34.9231,2,    310.8,2,     2.06,2,     3.78,2,     0.16,2,     0.51,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    6.52642,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   6.5264
  58JH19940723,  AR18,   578,  2,      8,    112,2,19940726, 66.1660,  -2.6040, 3427,     49.4,   5.2603,  34.9085,2,  34.9240,2,    297.3,2,     4.26,2,     8.67,2,     0.70,2,     0.75,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    5.25639,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   5.2564
  58JH19940723,  AR18,   578,  2,      7,    100,2,19940726, 66.1660,  -2.6040, 3427,     73.2,   3.8085,  34.9249,2,  34.9272,2,    301.0,2,     5.69,2,    12.63,2,     0.02,2,     0.93,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    3.80354,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.8035
  58JH19940723,  AR18,   578,  2,      6,    106,2,19940726, 66.1660,  -2.6040, 3427,     99.4,   3.6278,  34.9256,2,  34.9266,2,    305.7,2,     5.59,2,    12.18,2,     0.02,2,     0.91,2,    5.441,2, -999.000,5, -999.000,5,    8.413,2,   -999.0,9,   -999.0,    3.62119,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.6212
  58JH19940723,  AR18,   578,  2,      5,    113,2,19940726, 66.1660,  -2.6040, 3427,    123.4,   3.4971,  34.9218,2,  34.9217,2,    306.8,2,     5.55,2,    12.11,2,     0.02,2,     0.91,2, -999.000,5, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,      3.489,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.4890
  58JH19940723,  AR18,   578,  2,      4,    105,2,19940726, 66.1660,  -2.6040, 3427,    149.7,   3.4180,  34.9336,2,  34.9374,2,    305.7,2,     5.52,2,    12.32,2,     0.01,2,     0.92,2,    5.403,2, -999.000,5, -999.000,5,    7.720,2,   -999.0,9,   -999.0,    3.40823,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.4082
  58JH19940723,  AR18,   578,  2,      3,    103,2,19940726, 66.1660,  -2.6040, 3427,    200.1,   3.3458,  34.9403,2,  34.9418,2,    306.7,2,     5.52,2,    12.30,2,     0.01,2,     0.92,2, -999.000,2, -999.000,5, -999.000,5, -999.000,5,   -999.0,9,   -999.0,    3.33278,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.3328
  58JH19940723,  AR18,   578,  2,      2,    102,2,19940726, 66.1660,  -2.6040, 3427,    249.1,   3.0460,  34.9300,2,  34.9331,2,    308.6,2,     5.58,2,    12.37,2,     0.01,2,     0.92,2,    5.413,2, -999.000,5, -999.000,5,    8.004,2,   -999.0,9,   -999.0,    3.03029,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,  -999.00,9,   -999.0,   -999.0,9,   3.0303
