EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,SF6,SF6_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_SWS_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,TDN,TDN_FLAG_W,DELC14,DELC14_FLAG_W,C14ERR,DELC13,DELC13_FLAG_W,14C-DOC,14C-DOC_FLAG_W,14C-DOCERR,13C-DOC,13C-DOC_FLAG_W,13C-DOCERR,THETA
,,,,,,,,,,,METERS,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,FMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,DEG C,UMOL/KG,,UMOL/KG,,/MILLE,,/MILLE,/MILLE,,/MILLE,,/MILLE,/MILLE,,/MILLE,DEG C
  33RO20110926,   A10,     2,  1,      3,  11703,2,20110928,0919,-28.7159,  14.4665, 1005, 194.6000,    194.6,   9.5389,  34.7547,2,  34.7596,2,    149.8,2,    150.0,2,    13.60,2,    23.40,2,     0.16,2,     1.68,2, -999.000,9, -999.000,9,     -999,9, -999.000,9,   2192.4,2,   2298.0,2,-999.0000,9,   7.6294,2,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   9.5170
  33RO20110926,   A10,     2,  1,      2,  11702,2,20110928,0919,-28.7159,  14.4665, 1005, 218.8000,    218.8,   8.9070,  34.7018,2,  34.7028,2,    138.0,2,    138.1,2,    15.80,2,    26.10,2,     0.18,2,     1.85,2,    2.593,2,    1.393,2,    0.788,2,    1.197,3,   2202.7,2,   2296.4,2,-999.0000,9,   7.5994,2,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   8.8834
  33RO20110926,   A10,     2,  1,      1,  11701,2,20110928,0919,-28.7159,  14.4665, 1005, 256.7000,    256.7,   8.1702,  34.6395,2,  34.6411,2,    127.3,2,    125.0,2,    19.10,2,    29.10,2,     0.10,2,     2.06,2,    2.295,6,    1.209,6,    0.655,6,    1.160,3,   2215.7,2,   2296.5,6,-999.0000,9,   7.5513,6,    25.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   8.1439
  33RO20110926,   A10,     3,  1,     22,  11712,2,20110928,1118,-28.8170,  14.1836, 1005,   5.1000,      5.1,  15.1473,  35.1835,2,-999.0000,9,    249.7,9,   -999.0,9,     4.80,2,     4.50,2,     0.17,2,     0.46,2, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,     52.9,2,      2.6,     1.28,2,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  15.1465
  33RO20110926,   A10,     3,  1,     21,  11010,2,20110928,1118,-28.8170,  14.1836, 1005,   4.8000,      4.8,  15.1627,  35.1838,2,  35.1867,2,    249.7,2,    255.3,2,     4.80,2,     4.60,2,     0.17,2,     0.45,2,    2.775,6,    1.639,6,    1.593,6,    2.861,3,   2081.2,2,   2323.6,2,-999.0000,9,   7.9309,2,    25.00,     56.6,2,     8.45,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  15.1620
  33RO20110926,   A10,     3,  1,     20,  11715,2,20110928,1118,-28.8170,  14.1836, 1005,  29.6000,     29.6,  15.0383,  35.1861,2,-999.0000,9,    251.2,9,   -999.0,9,     4.80,6,     4.60,6,     0.17,6,     0.45,6, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  15.0338
  33RO20110926,   A10,     3,  1,     19,  11007,2,20110928,1118,-28.8170,  14.1836, 1005,  29.7000,     29.7,  15.0393,  35.1859,2,  35.1881,2,    251.2,2,    254.9,2,     4.80,2,     4.60,2,     0.17,2,     0.46,2,    2.788,2,    1.633,2,    1.598,2,    2.817,3,   2086.8,2,   2326.4,2,-999.0000,9,   7.9268,2,    25.00,     57.0,2,     9.34,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  15.0348
  33RO20110926,   A10,     3,  1,     18,  11710,2,20110928,1118,-28.8170,  14.1836, 1005,  69.9000,     69.9,  14.5981,  35.2336,2,-999.0000,9,    234.3,9,   -999.0,9,     3.50,2,     6.20,2,     0.45,2,     0.58,2, -999.000,9, -999.000,9,     -999,9, -999.000,9,   -999.0,9,   -999.0,9,-999.0000,9,-999.0000,9,  -999.00,   -999.0,9,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.5877
  33RO20110926,   A10,     3,  1,     17,  11023,2,20110928,1118,-28.8170,  14.1836, 1005,  69.7000,     69.7,  14.6007,  35.2335,2,  35.2377,2,    234.3,2,    235.1,2,     3.50,2,     6.30,2,     0.43,2,     0.58,2,    2.780,2,    1.622,2,    1.585,2,    2.300,3,   2104.5,2,   2322.3,2,-999.0000,9,   7.8948,2,    25.00,     61.7,3,    11.38,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  14.5904
  33RO20110926,   A10,     3,  1,     16,  11709,2,20110928,1118,-28.8170,  14.1836, 1005,  99.5000,     99.5,  13.3092,  35.1102,2,  35.1207,2,    219.0,2,    218.4,2,     4.90,2,    10.30,2,     0.02,2,     0.79,2,    2.931,2,    1.691,2,     1.43,2,    1.824,3,   2121.0,2,   2314.3,2,-999.0000,9,   7.8427,2,    25.00,     50.4,2,    13.97,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  13.2953
  33RO20110926,   A10,     3,  1,     15,  11006,2,20110928,1118,-28.8170,  14.1836, 1005, 119.6000,    119.6,  12.4912,  35.0370,2,  35.0384,2,    210.2,2,    209.3,2,     5.50,6,    12.40,6,     0.03,6,     0.92,6,    3.006,2,    1.724,2,     1.34,2,    1.419,3,   2131.6,2,   2309.4,2,-999.0000,9,   7.8047,2,    25.00,     49.2,2,    17.11,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  12.4752
  33RO20110926,   A10,     3,  1,     14,  11708,2,20110928,1118,-28.8170,  14.1836, 1005, 149.4000,    149.4,  11.7455,  35.0052,2,  35.0075,2,    208.9,2,    211.3,2,     5.10,2,    13.20,2,     0.02,2,     0.97,2,    3.127,2,    1.746,2,    1.289,2,    1.025,3,   2133.5,2,   -999.0,5,-999.0000,9,-999.0000,9,  -999.00,     56.8,3,    19.12,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  11.7263
  33RO20110926,   A10,     3,  1,     13,  11031,2,20110928,1118,-28.8170,  14.1836, 1005, 179.8000,    179.8,  11.4676,  34.9732,2,  34.9746,2,    213.1,2,    212.0,2,     5.40,2,    14.00,2,     0.01,2,     1.00,2,    3.102,2,    1.757,2,    1.273,2,    0.994,3,   2133.9,2,   -999.0,5,-999.0000,9,   7.7976,2,    25.00,     48.9,2,    17.32,2,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  11.4448
  33RO20110926,   A10,     3,  1,     12,  11027,2,20110928,1118,-28.8170,  14.1836, 1005, 210.8000,    210.8,  10.7035,  34.8753,2,  34.8773,2,    203.5,2,    201.4,2,     7.10,2,    16.60,2,     0.00,2,     1.18,2,    3.145,2,    1.750,2,    1.174,2,    1.157,3,   2145.8,2,   2302.3,2,-999.0000,9,   7.7505,2,    25.00,     51.2,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,  10.6780
  33RO20110926,   A10,     3,  1,     11,  11707,2,20110928,1118,-28.8170,  14.1836, 1005, 248.3000,    248.3,   9.9540,  34.7840,2,  34.7865,2,    205.9,2,    208.9,2,     7.50,2,    17.70,2,     0.01,2,     1.24,2,    3.231,2,    1.765,2,    1.154,2,    1.284,3,   2144.5,3,   2298.6,2,-999.0000,9,   7.7445,2,    25.00,     51.2,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   9.9253
  33RO20110926,   A10,     3,  1,     10,  11003,2,20110928,1118,-28.8170,  14.1836, 1005, 299.7000,    299.7,   9.5782,  34.7733,2,  34.7760,2,    132.1,2,    131.7,2,    14.60,2,    26.00,2,     0.01,2,     1.80,2,    2.645,2,    1.418,2,    0.851,2,    1.006,3,   2200.4,3,   2297.4,2,-999.0000,9,   7.6004,2,    25.00,     47.3,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   9.5443
  33RO20110926,   A10,     3,  1,      9,  11706,2,20110928,1118,-28.8170,  14.1836, 1005, 339.4000,    339.4,   8.9668,  34.7079,2,  34.7101,2,    135.3,2,    134.5,2,    15.70,6,    27.30,6,     0.01,6,     1.87,6,    2.583,2,    1.374,2,    0.728,2,    1.075,3,   2202.6,2,   2295.8,2,-999.0000,9,   7.5894,2,    25.00,     59.6,3,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   8.9298
  33RO20110926,   A10,     3,  1,      8,  11033,2,20110928,1118,-28.8170,  14.1836, 1005, 389.2000,    389.2,   8.3722,  34.6590,2,  34.6625,2,    124.1,2,    123.2,2,    17.50,2,    29.80,2,     0.00,2,     2.03,2,    2.291,2,    1.202,2,      0.6,2,    1.036,3,   2211.9,2,   2294.5,2,-999.0000,9,   7.5542,6,    25.00,     45.6,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   8.3314
  33RO20110926,   A10,     3,  1,      7,  11705,2,20110928,1118,-28.8170,  14.1836, 1005, 438.7000,    438.7,   7.7862,  34.6015,2,  34.6049,2,    130.4,2,    129.8,2,    18.40,2,    31.00,2,     0.00,2,     2.08,2,    2.199,2,    1.160,2,    0.559,2,    1.069,3,   2212.9,2,   2293.7,2,-999.0000,9,   7.5551,2,    25.00,     41.7,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   7.7421
  33RO20110926,   A10,     3,  1,      6,  11029,2,20110928,1118,-28.8170,  14.1836, 1005, 525.3000,    525.3,   6.6044,  34.4971,2,  34.4969,2,    147.4,2,    147.2,2,    20.60,2,    32.30,2,     0.00,2,     2.14,2,    2.076,2,    1.056,2,    0.506,2,    1.345,3,   2210.3,3,   2291.5,2,-999.0000,9,   7.5631,2,    25.00,     41.4,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   6.5560
  33RO20110926,   A10,     3,  1,      5,  11704,2,20110928,1118,-28.8170,  14.1836, 1005, 625.9000,    625.9,   6.1400,  34.4906,2,  34.4936,2,    132.7,2,    132.9,2,    23.80,2,    34.60,2,     0.00,2,     2.29,2,    1.439,2,    0.730,2,    0.299,2,    1.000,3,   2223.0,2,   2294.1,2,-999.0000,9,   7.5303,2,    25.00,     40.9,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   6.0841
  33RO20110926,   A10,     3,  1,      4,  11030,2,20110928,1118,-28.8170,  14.1836, 1005, 725.4000,    725.4,   4.5546,  34.3282,2,  34.3297,2,    209.1,2,    209.3,2,    27.90,6,    30.70,6,     0.01,6,     2.07,6,    2.542,2,    1.262,2,    0.611,2,    2.152,3,   2192.9,3,   2295.5,2,-999.0000,9,   7.6224,4,    25.00,     41.6,2,  -999.00,9,   -999.0,9,   -999.0,  -999.00,9,   -999.0,-999,   -999.0,   -999.0,9,   -999.0,   4.4983
