EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PCO2_TMP,ALKALI,ALKALI_FLAG_W,C14ERR,HELIER,DELHER,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,UMOL/KG,,UATM,,DEG C,UMOL/KG,,/MILLE,NMOL/KG,PERCNT,TU
   31WTTUNES_2,  P17S,124,1,22,22,2,19910721,2322,-6.005,-135.0033,4484,1780,2.5473,34.6187,2,34.6204,2,115.4,2,2.4215,113.8,2,126.51,2,37.78,2,0,2,2.82,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2329.9,2,1348.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,23,23,2,19910721,2322,-6.005,-135.0033,4484,1984.5,2.3224,34.6316,2,34.6339,2,120.7,2,2.1824,119.3,2,131.9,2,37.52,2,0,2,2.69,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2331.2,2,1324.7,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,24,24,2,19910721,2322,-6.005,-135.0033,4484,2183.4,2.1246,34.6428,2,34.6462,2,123.6,2,1.9704,121.4,2,138.34,2,37.47,2,0,2,2.64,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2335.5,2,1298.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,25,25,2,19910721,2322,-6.005,-135.0033,4484,2333.1,2.0007,34.6536,2,34.655,2,125.2,2,1.8354,123.5,2,142.16,2,37.26,2,0,2,2.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2339.2,2,1300.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,26,26,2,19910721,2322,-6.005,-135.0033,4484,2486.9,1.8997,34.6595,2,34.6617,2,127.9,2,1.7225,127.3,2,144.35,2,37.1,2,0.01,2,2.63,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2340.7,2,1273.5,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,27,27,2,19910721,2322,-6.005,-135.0033,4484,2636.4,1.8298,34.6646,2,34.6672,2,131.3,2,1.6402,131.7,2,145.12,2,36.74,2,0.01,2,2.6,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2338.7,2,1252.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,28,28,2,19910721,2322,-6.005,-135.0033,4484,2787.9,1.7768,34.6698,2,34.6709,2,137.4,2,1.5742,135.6,2,145.68,2,36.53,2,0,2,2.54,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2334.6,2,1224.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,29,29,2,19910721,2322,-6.005,-135.0033,4484,2989.4,1.7119,34.6741,2,34.6746,2,140.4,2,1.4914,140,2,146.64,2,36.13,2,0.04,2,2.62,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2336.4,2,1202.5,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,30,30,2,19910721,2322,-6.005,-135.0033,4484,3185.2,1.6349,34.6768,2,34.6792,2,146.3,2,1.3971,147.3,2,144.94,2,35.81,2,0,2,2.61,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2330.6,2,1153.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,31,31,2,19910721,2322,-6.005,-135.0033,4484,3387.7,1.564,34.6835,2,34.6826,2,152.2,2,1.3076,153.9,2,144.07,2,35.43,2,0.02,2,2.45,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2325.2,2,1137.5,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,33,33,2,19910721,2322,-6.005,-135.0033,4484,3691.7,1.488,34.6883,2,34.6861,2,157.5,2,1.2023,157.9,2,145.24,2,35.45,2,0,2,2.54,3,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2325.9,2,1091.4,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,32,32,2,19910721,2322,-6.005,-135.0033,4484,3691.9,1.488,34.6882,2,-999,9,157.3,2,1.2023,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,5,-999,5,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,34,34,2,19910721,2322,-6.005,-135.0033,4484,3995.5,1.448,34.6911,2,34.6909,2,162.6,2,1.1311,163.3,2,143.13,2,35.04,2,0,2,2.45,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,2317.2,2,1085.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,35,35,2,19910721,2322,-6.005,-135.0033,4484,4304.7,1.4131,34.6957,2,34.6944,2,170.6,2,1.0629,171.7,2,138.59,2,34.52,2,0,2,2.38,2,0.014,3,0,2,-999,9,-999,9,-999,9,-999,9,-999,9,2307.1,2,1076.8,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,124,1,36,36,2,19910721,2322,-6.005,-135.0033,4484,4562.4,1.432,34.6976,2,34.6958,2,172,2,1.0519,172.6,2,137.11,2,34.13,2,0.04,2,2.42,2,0.008,2,0,2,-999,9,-999,9,-999,9,-999,9,-999,9,2308.9,2,1084.1,2,20,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,1,1,2,19910722,550,-6.5117,-135.0117,4451,0.4,27.4609,35.2375,2,35.241,2,-999,9,27.4608,214.1,2,2.54,2,4.98,2,0.09,2,0.55,2,1.656,2,0.955,2,-999,9,-999,9,-999,9,79.5,2,-999,9,2002.6,2,302.2,2,20,-999,9,4,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,2,2,2,19910722,550,-6.5117,-135.0117,4451,51.8,27.4709,35.2379,2,35.2422,2,208.8,6,27.4589,213.3,2,2.44,2,4.98,2,0.09,2,0.54,2,1.645,2,0.953,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,3,3,2,19910722,550,-6.5117,-135.0117,4451,77.8,27.4639,35.2396,2,35.2432,2,212.1,6,27.4458,211.5,2,2.44,2,4.98,2,0.09,2,0.55,2,1.638,2,0.973,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,4,4,2,19910722,550,-6.5117,-135.0117,4451,97.8,27.3999,35.2726,2,35.2769,2,200.1,6,27.3772,216.3,2,2.44,2,4.98,2,0.09,2,0.55,2,1.675,2,0.961,2,-999,9,-999,9,-999,9,78.3,2,1.33,2,-999,9,-999,9,-999,-999,9,4,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,5,5,2,19910722,550,-6.5117,-135.0117,4451,114,26.0655,35.9838,2,35.976,2,191.2,2,26.04,195.1,2,1.95,2,3.32,2,0.21,2,0.62,2,1.755,2,1.013,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,6,6,2,19910722,550,-6.5117,-135.0117,4451,128.4,24.4242,36.1113,2,36.0956,2,187.7,2,24.3967,181.6,2,1.95,2,2.54,2,2.66,2,0.64,2,1.82,2,1.068,2,-999,9,-999,9,-999,9,77.5,2,1.38,2,-999,9,-999,9,-999,-999,9,4.1,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,7,7,2,19910722,550,-6.5117,-135.0117,4451,155.1,20.3657,35.804,2,35.8307,2,161.6,2,20.3366,161.1,2,1.95,2,7.23,2,0.22,2,0.76,2,1.918,2,1.055,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,8,8,2,19910722,550,-6.5117,-135.0117,4451,180.2,16.2219,35.2813,2,35.2318,2,101.1,2,16.1931,76.7,2,8.89,2,18.66,2,0.04,2,1.6,2,1.205,2,0.732,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,9,9,2,19910722,550,-6.5117,-135.0117,4451,206.9,13.6244,34.9699,2,34.9701,2,2.6,2,13.595,2.4,2,22.08,2,25.21,2,0.04,2,2.41,2,0.489,2,0.284,2,-999,9,-999,9,-999,9,-2.1,2,-0.08,3,-999,9,-999,9,-999,-999,9,4.8,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,10,10,2,19910722,550,-6.5117,-135.0117,4451,267.7,11.7419,34.8611,2,34.858,2,24.5,2,11.7074,24.6,2,25.02,2,31.66,2,0,2,2.32,2,0.153,2,0.103,2,-999,9,-999,9,-999,9,-35.7,2,0.18,2,-999,9,-999,9,-999,-999,9,4.8,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,11,11,2,19910722,550,-6.5117,-135.0117,4451,307.9,11.1131,34.8193,2,34.8195,2,25.4,2,11.0748,24.6,2,27.66,2,32.74,2,0.01,2,2.37,2,0.103,2,0.07,2,-999,9,-999,9,-999,9,-51.2,2,0.09,2,-999,9,-999,9,-999,-999,9,7.3,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,12,12,2,19910722,550,-6.5117,-135.0117,4451,368.5,10.1704,34.7582,2,34.7583,2,18.2,2,10.1269,18.3,2,32.35,2,35.09,2,0.05,2,2.56,2,0.042,2,0.037,2,-999,9,-999,9,-999,9,-69.2,2,0.1,2,-999,9,-999,9,-999,-999,9,3.7,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,13,13,2,19910722,550,-6.5117,-135.0117,4451,430.7,9.3107,34.7046,2,34.7031,2,20.6,2,9.2625,32.1,2,34.11,2,35.97,2,0,2,2.56,2,0.027,2,0.025,2,-999,9,-999,9,-999,9,-84.3,2,0.13,2,-999,9,-999,9,-999,-999,9,4.6,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,14,14,2,19910722,550,-6.5117,-135.0117,4451,492.1,8.4551,34.6518,2,34.6506,2,43.7,2,8.4029,41.3,2,37.53,2,37.14,2,0.03,2,2.63,2,0.016,2,0.01,2,-999,9,-999,9,-999,9,-105.8,2,-999,9,-999,9,-999,9,-999,-999,9,5.3,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,15,15,2,19910722,550,-6.5117,-135.0117,4451,552.5,7.6864,34.6073,2,34.6057,2,67.1,2,7.6308,63.3,2,39.29,2,36.75,2,0.01,2,2.58,2,0.013,2,0.017,3,-999,9,-999,9,-999,9,-80.9,4,0.34,2,-999,9,-999,9,-999,-999,9,3.8,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,16,16,2,19910722,550,-6.5117,-135.0117,4451,613.9,7.1327,34.5773,2,34.5776,2,74,2,7.0732,73.4,2,42.03,2,37.05,2,0,2,2.59,2,0.011,2,0.007,2,-999,9,-999,9,-999,9,-114.4,2,0.35,2,-999,9,-999,9,-999,-999,9,5.2,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,17,17,2,19910722,550,-6.5117,-135.0117,4451,734.6,6.1372,34.5466,2,34.5491,2,63.3,2,6.071,70.4,2,54.06,2,39.39,2,0.02,2,2.78,2,0.003,2,0.004,2,-999,9,-999,9,-999,9,-143.3,2,-999,9,-999,9,-999,9,-999,-999,9,4,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,18,18,2,19910722,550,-6.5117,-135.0117,4451,918.5,4.8959,34.5345,2,34.5361,2,89.1,2,4.8206,89.2,2,71.85,2,39,2,0.01,2,2.78,2,-999,5,-999,5,-999,9,-999,9,-999,9,-171,2,0.14,2,-999,9,-999,9,-999,-999,9,9,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,19,19,2,19910722,550,-6.5117,-135.0117,4451,1121.3,4.0943,34.5564,2,34.5558,2,95.5,2,4.0076,93.2,2,90.42,2,39.2,2,0,2,2.82,2,-999,9,-999,9,-999,9,-999,9,-999,9,-204.7,3,0.08,2,-999,9,-999,9,-999,-999,9,10.2,-999,-999,-999
   31WTTUNES_2,  P17S,125,1,20,20,2,19910722,550,-6.5117,-135.0117,4451,1326.3,3.5087,34.5722,2,34.5754,2,104.6,2,3.4099,104,2,101.95,2,38.51,2,0,2,2.76,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,-999,9,-999,-999,-999,-999
