EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2TMP,PCO2_FLAG_W,DELC13,DELC13_FLAG_W,DELC14,C14ERR,DELC14_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PPM,DEGC,,O/OO,,O/OO,O/OO,,DEGC
  58JH19920712,  AR18,   934,  1,     12,     12,4,19920715, 63.7330,  -5.9660, 2455,      4.5,   8.3720,  34.9111,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,   8.3715
  58JH19920712,  AR18,   934,  1,     11,     11,2,19920715, 63.7330,  -5.9660, 2455,     25.3,   6.4630,  34.9630,2,  34.8650,2,    302.9,2,     1.71,2,     3.57,2,     0.11,2,     0.46,2,   2073.2,2,    273.4,   6.46076885,2,  -999.00,9,   -999.0,   -999.0,9,   6.4608
  58JH19920712,  AR18,   934,  1,     10,     10,2,19920715, 63.7330,  -5.9660, 2455,     50.1,   5.7040,  34.8387,2,-999.0000,9,    303.8,2,     3.47,2,     8.80,2,     0.31,2,     0.77,2,   2113.1,2,    316.3,   5.69987026,2,     1.23,2,   -999.0,   -999.0,9,   5.6999
  58JH19920712,  AR18,   934,  1,      9,      9,2,19920715, 63.7330,  -5.9660, 2455,     99.4,   4.0470,  34.8842,2,-999.0000,9,    309.8,2,     4.48,2,    11.33,2,     0.27,2,     0.88,2,   2130.9,2,    331.4,   4.04006135,2,  -999.00,9,   -999.0,   -999.0,9,   4.0401
  58JH19920712,  AR18,   934,  1,      8,      8,2,19920715, 63.7330,  -5.9660, 2455,    200.0,   1.8830,  34.8066,2,-999.0000,9,    322.7,2,     5.19,2,    12.30,2,     0.18,2,     1.00,2,   2133.4,2,    336.0,   1.87240597,2,     1.04,2,   -999.0,   -999.0,9,   1.8724
  58JH19920712,  AR18,   934,  1,      7,      7,2,19920715, 63.7330,  -5.9660, 2455,    501.0,   0.0960,  34.8978,2,-999.0000,9,    304.3,2,     6.83,2,    13.85,2,     0.01,2,     1.00,2,   2150.7,2,    339.0, 0.0754685757,2,  -999.00,9,   -999.0,   -999.0,9,   0.0755
  58JH19920712,  AR18,   934,  1,      6,      6,2,19920715, 63.7330,  -5.9660, 2455,    745.1,  -0.4000,  34.9070,2,-999.0000,9,    302.9,2,     7.99,2,    14.30,2,     0.01,2,     1.03,2,   2159.1,2,    334.1, -0.429114677,2,     1.00,2,   -999.0,   -999.0,9,  -0.4291
  58JH19920712,  AR18,   934,  1,      5,      5,2,19920715, 63.7330,  -5.9660, 2455,    991.1,  -0.6330,  34.9132,2,  34.9100,2,    300.9,2,     9.07,2,    14.53,2,     0.01,2,     1.02,2,   2159.9,2,    329.9, -0.672030044,2,  -999.00,9,   -999.0,   -999.0,9,  -0.6720
  58JH19920712,  AR18,   934,  1,      4,      4,2,19920715, 63.7330,  -5.9660, 2455,   1485.5,  -0.8390,  34.9158,2,-999.0000,9,    303.2,2,    10.54,2,    14.77,2,     0.01,2,     1.08,2,   2149.9,2,    324.8, -0.901618199,2,  -999.00,9,   -999.0,   -999.0,9,  -0.9016
  58JH19920712,  AR18,   934,  1,      3,      3,4,19920715, 63.7330,  -5.9660, 2455,   1783.0,  -0.8890,  34.9153,2,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,   -999.0,9,   -999.0,         -999,9,  -999.00,9,   -999.0,   -999.0,9,  -0.9681
