EXPOCODE,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,SOMSAL,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,TCARBN,TCARBN_FLAG_W,FCO2,FCO2_TMP,FCO2_FLAG_W,TRITUM,TRITER,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHER,DELHE3_FLAG_W,C14_BIO,C14_BIO_FLAG_W,POC,POC_FLAG_W,PON,PON_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,BACT,BACT_FLAG_W,CTDNO,BNLID,THETA
,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,PSS-78,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,DEGC,,TU,TU,,NMOL/KG,,PERCNT,PERCNT,,UKNOWN,,ug/kg,,ug/kg,,UG/L,,UG/L,,CELLS/ML,,,,DEGC
  32L919930718,     1,  2,      5,2,19930722, 80.3100,  -9.6440,  317,    151.0,  -0.2960,  34.3020,2,-999.0000,9,-999.0000,    281.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3017,  -0.3010
  32L919930718,     1,  2,      4,2,19930722, 80.3100,  -9.6440,  317,    201.0,   0.3430,  34.6800,2,-999.0000,9,-999.0000,    271.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3016,   0.3350
  32L919930718,     1,  2,      3,2,19930722, 80.3100,  -9.6440,  317,    250.0,   0.3770,  34.7800,2,-999.0000,9,-999.0000,    270.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3015,   0.3668
  32L919930718,     1,  2,      2,2,19930722, 80.3100,  -9.6440,  317,    274.0,   0.3790,  34.7890,2,-999.0000,9,-999.0000,    271.5,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3014,   0.3677
  32L919930718,     1,  2,      1,2,19930722, 80.3100,  -9.6440,  317,    307.0,   0.3930,  34.8320,2,-999.0000,9,-999.0000,    273.8,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,       -999,9,   -999.0,9,   -999.0,      -999,9, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,   -999.0,9,       -999,9,       -999,9,  -999.00,9,  -999.00,9,     -999,9,  4,   3013,   0.3802
  32L919930718,     2,  1,     12,2,19930723, 80.4520, -13.2220,  294,      2.0,   3.8280,  29.1930,2,-999.0000,9,  29.2450,    358.7,2,    361.8,2,     2.61,2,     0.35,2,  -999.00,9,     0.58,2,0.100000001,2,   1894.3,2,    435.0,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.5,2, 6.45200014,2,0.606000006,2,     0.17,2,     0.04,2,    94800,2,  6,   3036,   3.8279
  32L919930718,     2,  1,     11,2,19930723, 80.4520, -13.2220,  294,      4.0,   3.4880,  30.0150,2,-999.0000,9,  30.7650,    357.6,2,    394.2,2,     3.94,2,     0.37,2,  -999.00,9,     0.61,2,0.012000002,2,   1987.9,2,    479.1,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      1.3,2, 7.68200016,2, 1.04100001,2,     0.19,2,     0.06,2,    65600,2,  6,   3035,   3.4878
  32L919930718,     2,  1,     10,2,19930723, 80.4520, -13.2220,  294,      6.0,   0.4420,  32.1860,2,-999.0000,9,  32.1160,    382.0,2,    383.8,2,    11.65,2,     1.93,2,  -999.00,9,     0.86,2,0.100000001,2,   2092.7,2,    644.7,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      5.2,2, 12.4490004,2, 2.41599989,2,     1.03,2,     0.02,2,    55900,2,  6,   3034,   0.4418
  32L919930718,     2,  1,      9,2,19930723, 80.4520, -13.2220,  294,     10.0,  -0.8440,  32.2260,2,-999.0000,9,  32.0660,    366.7,2,    380.0,2,    12.62,2,     3.07,2,  -999.00,9,     0.94,2,0.061000001,2,   2101.9,2,    674.4,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      1.8,2, 6.02099991,2,0.853999972,2,     0.46,2,     0.05,2,    63600,2,  6,   3033,  -0.8442
  32L919930718,     2,  1,      8,2,19930723, 80.4520, -13.2220,  294,     16.0,  -1.4680,  32.2580,2,-999.0000,9,  32.0900,    366.2,2,    375.4,2,    12.77,2,     3.36,2,  -999.00,9,     0.98,2,0.002000004,2,   2107.4,2,    689.7,      15.5,2, -999.000, -999.000,9,-999.0000,9,  -999.00,  -999.00,9,      0.1,2, 5.64699984,2,0.985000014,2,     0.40,2,     0.23,2,    71700,2,  6,   3032,  -1.4683
