BOTTLE,20020817WHPOSA
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: Aug. 17, 2002
#original HYD file: i02ehy.txt   Sat Aug 17 16:20:57 2002
#original SUM file: i02esu.txt   Tue Jan  8 10:56:35 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,LCAT,LCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,ALKALI,ALKALI_FLAG_W,CTDRAW,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PM/KG,,PM/KG,,TU,,UMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,UMOL/KG,,UATM,,UMOL/KG,,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,ITS-90,TU
    316N145_14,  I02E,  1078,  1,     36, 024,2,19951205,0540, -9.0000, 105.6333, 6445,     20.4,  28.1633,  33.6275,2,  33.6216,2,    459.9,4,    212.5,2,     3.54,2,     0.00,2,     0.00,2,     0.05,2,    1.617,2,    0.951,2,    0.972,2,-999.0000,1,  -999.00,9,     60.7,2,      1.3,2,-999.000,9,   1865.9,2,   -999.0,5,   2207.2,2,  699.4,     3.2,-999.0000,-999.000,-999.000, 28.1585,   0.004
    316N145_14,  I02E,  1078,  1,     35, 003,2,19951205,0540, -9.0000, 105.6333, 6445,     34.7,  28.0897,  33.6227,2,-999.0000,9,    482.1,4,    216.2,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    1.653,3,    0.980,2, -999.000,1,-999.0000,1,  -999.00,9,     70.1,2,      1.3,2,-999.000,9,   1868.1,2,   -999.0,5,   2201.9,2,  827.0,     3.5,-999.0000,-999.000,-999.000, 28.0815,-999.000
    316N145_14,  I02E,  1078,  1,     34, 026,2,19951205,0540, -9.0000, 105.6333, 6445,     64.0,  27.0852,  34.4052,2,  34.4045,2,    518.7,4,    222.3,2,     4.24,2,     0.00,2,     0.00,2,     0.10,2, -999.000,5, -999.000,5, -999.000,1,-999.0000,1,  -999.00,9,     88.7,2,      1.3,2,-999.000,9,   1930.6,2,   -999.0,5,   2257.3,2, 1094.5,     5.5,-999.0000,-999.000,-999.000, 27.0705,-999.000
    316N145_14,  I02E,  1078,  1,     33, 027,2,19951205,0540, -9.0000, 105.6333, 6445,    102.9,  23.3052,  34.4608,2,  34.4500,2,    607.4,4,    144.5,2,    11.66,2,     9.40,2,     0.11,2,     0.71,2,    1.544,2,    0.883,2, -999.000,1,-999.0000,1,  -999.00,9,     68.4,2,      0.7,2,-999.000,9,   2021.9,2,   -999.0,5,   2263.7,2, 1452.7,     3.5,-999.0000,-999.000,-999.000, 23.2841,-999.000
    316N145_14,  I02E,  1078,  1,     32, 028,2,19951205,0540, -9.0000, 105.6333, 6445,    152.6,  17.3561,  34.5720,2,  34.5728,2,    751.5,4,    110.0,2,    25.28,2,    18.30,2,     0.01,2,     1.31,2,    1.263,2,    0.677,2,    1.050,2,-999.0000,1,  -999.00,9,     38.1,2,      0.3,2,-999.000,9,   2111.6,2,   -999.0,5,   2291.2,2, 1911.5,     4.0,-999.0000,-999.000,-999.000, 17.3307,   0.004
    316N145_14,  I02E,  1078,  1,     31, 029,2,19951205,0540, -9.0000, 105.6333, 6445,    197.2,  13.4461,  34.6285,2,  34.6185,2,    861.4,4,     93.8,2,    35.01,2,    23.87,2,     0.01,2,     1.70,2,    0.940,2,    0.492,2,    0.848,2,-999.0000,1,  -999.00,9,     -7.4,2,      0.3,2,-999.000,9,   2165.3,2,   -999.0,5,   2299.6,2, 2324.4,     3.4,-999.0000,-999.000,-999.000, 13.4184,   0.004
    316N145_14,  I02E,  1078,  1,     30, 030,2,19951205,0540, -9.0000, 105.6333, 6445,    253.0,  11.4031,  34.6330,2,  34.6295,2,    930.7,4,     87.8,2,    40.86,2,    26.99,2,     0.01,2,     1.91,2, -999.000,5, -999.000,5,    1.202,2,-999.0000,1,  -999.00,9,    -34.1,2,      0.2,2,-999.000,9,   2193.9,2,   -999.0,5,   2306.8,2, 2840.8,     4.1,-999.0000,-999.000,-999.000, 11.3712,   0.004
    316N145_14,  I02E,  1078,  1,     29, 031,2,19951205,0540, -9.0000, 105.6333, 6445,    302.9,  10.8125,  34.7742,2,  34.7697,2,    955.4,4,     69.0,2,    38.39,2,    29.58,2,     0.01,2,     2.05,2,    0.408,2,    0.211,2,    0.423,2,-999.0000,1,  -999.00,9,    -40.5,2,      0.2,2,-999.000,9,   2215.4,2,   -999.0,5,   2314.9,2, 3302.6,     3.9,-999.0000,-999.000,-999.000, 10.7755,   0.003
    316N145_14,  I02E,  1078,  1,     28, 032,2,19951205,0540, -9.0000, 105.6333, 6445,    353.1,  10.4764,  34.8418,2,  34.8283,2,    973.9,4,     66.5,2,    36.63,2,    30.82,2,     0.00,2,     2.09,2,    0.280,2,    0.157,2, -999.000,1,-999.0000,1,  -999.00,9,    -55.9,2,      0.3,2,-999.000,9,   2221.1,2,   -999.0,5,   2313.4,2, 3767.8,     4.2,-999.0000,-999.000,-999.000, 10.4339,-999.000
    316N145_14,  I02E,  1078,  1,     27, 033,2,19951205,0540, -9.0000, 105.6333, 6445,    401.0,   9.8652,  34.8125,2,  34.8066,2,      3.2,4,     69.0,2,    39.65,2,    31.33,2,     0.00,2,     2.16,2,    0.227,2,    0.147,2,    0.233,2,-999.0000,1,  -999.00,9,    -58.3,2,      0.3,2,-999.000,9,   2226.6,2,   -999.0,5,   2316.2,2, 4210.5,     3.0,-999.0000,-999.000,-999.000,  9.8187,   0.003
    316N145_14,  I02E,  1078,  1,     26, 037,2,19951205,0540, -9.0000, 105.6333, 6445,    497.5,   9.0499,  34.8026,2,  34.7958,2,     48.8,4,     72.5,2,    44.44,2,    32.56,2,     0.00,2,     2.28,2,    0.106,3,    0.047,2,    0.116,2,-999.0000,1,  -999.00,9,    -84.3,2,      0.4,2,-999.000,9,   2234.6,2,   -999.0,5,   2319.6,2, 5104.8,     3.5,-999.0000,-999.000,-999.000,  8.9949,   0.002
