EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,DEGC
  33LK19960415,  AR04,     4,  1,      8,2,19960416,  5.8840, -51.4088,   25,     72.6,  27.7117,  36.2806,2,  36.3618,2,    198.4,2,    195.2,2,     1.13,2,     0.15,2,     0.00,2,     0.02,2,   -9.000,9,   -9.000,9,   2050.7,2,     -9.0,9,   8.1030,    25.00,2,  27.6947
  33LK19960415,  AR04,     4,  1,      7,2,19960416,  5.8840, -51.4088,   25,    142.4,  17.1921,  35.8401,2,  35.6332,2,    167.6,2,    163.6,2,     5.70,2,    11.96,2,     0.00,2,     0.81,2,   -9.000,9,   -9.000,9,   2127.9,2,     -9.0,9,   7.9091,    25.00,2,  17.1683
  33LK19960415,  AR04,     4,  1,      6,2,19960416,  5.8840, -51.4088,   25,    294.8,   8.9404,  34.8434,2,  34.7983,2,    123.8,2,    125.9,2,    16.92,2,    27.68,2,     0.00,2,     1.77,2,   -9.000,9,   -9.000,9,   2192.8,2,     -9.0,9,   7.6864,    25.00,2,   8.9084
  33LK19960415,  AR04,     4,  1,      4,2,19960416,  5.8840, -51.4088,   25,    395.8,   7.8120,  34.7522,2,  34.7487,2,    118.6,2,    119.4,2,    19.56,2,    29.96,2,     0.00,2,     1.93,2,   -9.000,9,   -9.000,9,   2200.0,2,     -9.0,9,   7.6456,    25.00,2,   7.7721
  33LK19960415,  AR04,     4,  1,      5,2,19960416,  5.8840, -51.4088,   25,    397.4,   7.8153,  34.7506,2,  34.7413,2,    118.6,2,    119.6,2,    19.79,2,    30.05,2,     0.00,2,     1.92,2,   -9.000,9,   -9.000,9,   2192.2,2,     -9.0,9,   7.6457,    25.00,2,   7.7753
  33LK19960415,  AR04,     4,  1,      3,2,19960416,  5.8840, -51.4088,   25,    499.8,   6.8918,  34.6650,2,  34.6438,2,    122.4,2,    121.1,2,    23.19,2,    31.81,2,     0.00,2,     2.09,2,   -9.000,9,   -9.000,9,   2219.1,2,     -9.0,9,   7.6269,    25.00,2,   6.8446
  33LK19960415,  AR04,     4,  1,      2,2,19960416,  5.8840, -51.4088,   25,    646.0,   5.9654,  34.6101,2,  34.6072,2,    129.6,2,    127.6,2,    27.33,2,    32.58,2,     0.00,2,     2.18,2,   -9.000,9,   -9.000,9,   2206.9,2,     -9.0,9,   7.6189,    25.00,2,   5.9084
  33LK19960415,  AR04,     4,  1,      1,2,19960416,  5.8840, -51.4088,   25,    741.5,   5.3295,  34.6092,2,  34.6116,2,    137.0,2,    136.7,2,    31.72,2,    32.36,2,     0.10,2,     2.67,3,   -9.000,9,   -9.000,9,   2200.5,3,     -9.0,9,   7.6502,    25.00,2,   5.2671
  33LK19960415,  AR04,     5,  1,     13,2,19960416,  5.9183, -51.3643,   25,      0.6,  28.1221,  36.2958,2,  36.2267,2,    195.2,2,    193.5,2,     1.67,2,     1.62,2,     0.00,2,     0.09,2,    1.615,2,    0.847,2,   2042.6,3,    397.9,2,   8.0664,    25.00,2,  28.1220
  33LK19960415,  AR04,     5,  1,     12,2,19960416,  5.9183, -51.3643,   25,     51.9,  27.9561,  36.2939,2,  36.2857,2,    195.0,2,    197.1,2,     1.04,2,     0.16,2,     0.00,2,     0.00,2,    1.608,2,    0.859,2,     -9.0,9,     -9.0,9,-999.0000,  -999.00,9,  27.9438
