EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-12,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,FCO2,FCO2_FLAG_W,FCO2_TMP,PH_TOT,PH_TOT_FLAG_W,PH_TMP,DOC,DOC_FLAG_W,DON,DON_FLAG_W,DELC14,DELC13,DELC13_FLAG_W,THETA
,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,PMOL/KG,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,,,,DEG C,UMOL/KG,,UMOL/KG,,/MILLE,/MILLE,,DEG C
  31DS19960105,P14S15,     1,  1,      5,2,19960106,   0,-45.8240, 153.0840, 4468,   3499.7,   1.2933,  34.7252,2,    198.7,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6147,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.0321
  31DS19960105,P14S15,     1,  1,      4,2,19960106,   0,-45.8240, 153.0840, 4468,   4001.7,   1.0506,  34.7132,2,    202.0,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6140,3,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.7440
  31DS19960105,P14S15,     1,  1,      3,2,19960106,   0,-45.8240, 153.0840, 4468,   4500.7,   0.9620,  34.7075,2,    205.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6135,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.6035
  31DS19960105,P14S15,     1,  1,      1,2,19960106,   0,-45.8240, 153.0840, 4468,   4554.4,   0.9561,  34.7077,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6143,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.5917
  31DS19960105,P14S15,     1,  1,      2,2,19960106,   0,-45.8240, 153.0840, 4468,   4554.9,   0.9568,  34.7077,2,    206.1,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.086,    0.030, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.6119,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.5924
  31DS19960105,P14S15,     2,  1,     22,2,19960107,   0,-48.3180, 158.4980, 4850,   1599.9,   2.6780,  34.5513,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.265,    0.125, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.5657
  31DS19960105,P14S15,     2,  1,     21,2,19960107,   0,-48.3180, 158.4980, 4850,   1600.5,   2.6769,  34.5516,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.252,    0.119, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.5646
  31DS19960105,P14S15,     2,  1,     20,2,19960107,   0,-48.3180, 158.4980, 4850,   1797.7,   2.5049,  34.6152,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.157,    0.117, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.3782
  31DS19960105,P14S15,     2,  1,     19,2,19960107,   0,-48.3180, 158.4980, 4850,   1799.6,   2.5029,  34.6149,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.185,    0.077, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.3761
  31DS19960105,P14S15,     2,  1,     17,2,19960107,   0,-48.3180, 158.4980, 4850,   1999.0,   2.3501,  34.6678,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.107,    0.047, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.2083
  31DS19960105,P14S15,     2,  1,     18,2,19960107,   0,-48.3180, 158.4980, 4850,   1999.7,   2.3507,  34.6719,3,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.128,    0.075, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.2088
  31DS19960105,P14S15,     2,  1,     29,2,19960107,   0,-48.3180, 158.4980, 4850,   2235.5,   2.1800,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,-999.0000
  31DS19960105,P14S15,     2,  1,     28,2,19960107,   0,-48.3180, 158.4980, 4850,   2236.1,   2.1799,  34.7046,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   2251.0,2,   2345.3,9,   -999.0,9,20,   7.5964,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0199
  31DS19960105,P14S15,     2,  1,     33,2,19960107,   0,-48.3180, 158.4980, 4850,   2236.5,   2.1794,-999.0000,9,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.056,    0.022, -999.000,9, -999.000,9,   2250.3,2,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,-999.0000
  31DS19960105,P14S15,     2,  1,     25,2,19960107,   0,-48.3180, 158.4980, 4850,   2236.8,   2.1797,  34.7049,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.267,    0.070, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0197
  31DS19960105,P14S15,     2,  1,     34,2,19960107,   0,-48.3180, 158.4980, 4850,   2236.9,   2.1794,  34.7045,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.055,    0.028, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5965,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0194
  31DS19960105,P14S15,     2,  1,     31,2,19960107,   0,-48.3180, 158.4980, 4850,   2237.1,   2.1796,  34.7039,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.060,    0.026, -999.000,9, -999.000,9,   2252.1,2,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0195
  31DS19960105,P14S15,     2,  1,     23,2,19960107,   0,-48.3180, 158.4980, 4850,   2237.4,   2.1797,  34.7059,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.054,    0.026, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5980,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0196
  31DS19960105,P14S15,     2,  1,     27,2,19960107,   0,-48.3180, 158.4980, 4850,   2237.4,   2.1797,  34.7047,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0196
  31DS19960105,P14S15,     2,  1,     30,2,19960107,   0,-48.3180, 158.4980, 4850,   2237.5,   2.1798,  34.7046,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.062,    0.028, -999.000,9, -999.000,9,   2250.9,2,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0197
  31DS19960105,P14S15,     2,  1,     32,2,19960107,   0,-48.3180, 158.4980, 4850,   2237.6,   2.1801,  34.7049,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.066,    0.032, -999.000,9, -999.000,9,   2252.0,2,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0200
  31DS19960105,P14S15,     2,  1,     26,2,19960107,   0,-48.3180, 158.4980, 4850,   2238.6,   2.1800,  34.7042,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,   7.5966,2,    25.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0198
  31DS19960105,P14S15,     2,  1,     24,2,19960107,   0,-48.3180, 158.4980, 4850,   2238.9,   2.1801,  34.7040,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.057,    0.030, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   2.0199
  31DS19960105,P14S15,     2,  1,     15,2,19960107,   0,-48.3180, 158.4980, 4850,   2499.9,   1.9105,  34.7234,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.021,    0.011, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.7316
  31DS19960105,P14S15,     2,  1,     16,2,19960107,   0,-48.3180, 158.4980, 4850,   2503.3,   1.9092,  34.7248,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.044,    0.040, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.7300
  31DS19960105,P14S15,     2,  1,     13,2,19960107,   0,-48.3180, 158.4980, 4850,   2999.0,   1.5660,  34.7266,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.009,    0.007, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.3476
  31DS19960105,P14S15,     2,  1,     14,2,19960107,   0,-48.3180, 158.4980, 4850,   2999.0,   1.5659,  34.7284,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.013,    0.037, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.3474
  31DS19960105,P14S15,     2,  1,     12,2,19960107,   0,-48.3180, 158.4980, 4850,   3497.4,   1.2935,  34.7220,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.017,    0.006, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.0325
  31DS19960105,P14S15,     2,  1,     11,2,19960107,   0,-48.3180, 158.4980, 4850,   3497.9,   1.2932,  34.7215,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.010,    0.006, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   1.0322
  31DS19960105,P14S15,     2,  1,     10,2,19960107,   0,-48.3180, 158.4980, 4850,   3997.2,   1.1458,  34.7160,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000, -999.000, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.8369
  31DS19960105,P14S15,     2,  1,      9,2,19960107,   0,-48.3180, 158.4980, 4850,   3997.6,   1.1459,  34.7146,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.023,    0.008, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.8370
  31DS19960105,P14S15,     2,  1,      7,2,19960107,   0,-48.3180, 158.4980, 4850,   4495.9,   1.0676,  34.7128,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.030,    0.023, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.7063
  31DS19960105,P14S15,     2,  1,      5,2,19960107,   0,-48.3180, 158.4980, 4850,   4496.5,   1.0678,  34.7107,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.034,    0.016, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.7064
  31DS19960105,P14S15,     2,  1,      3,2,19960107,   0,-48.3180, 158.4980, 4850,   4497.1,   1.0676,  34.7107,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.026,    0.012, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.7062
  31DS19960105,P14S15,     2,  1,      8,2,19960107,   0,-48.3180, 158.4980, 4850,   4497.2,   1.0680,  34.7127,2,   -999.0,9,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9,    0.036,    0.032, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,   -999.0,9,20,-999.0000,9,  -999.00,   -999.0,9,   -999.0,9,   -999.0,  -999.00,9,   0.7065
