EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,PCO2,PCO2_FLAG_W,PCO2TMP,RA-8/6,RA-8/6E,RA-8/6_FLAG_W,THETA
,,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,UATM,,DEGC,,,,DEGC
  316N19831007, A13.5,2,1,26,2,19831008,0,4.36,-3.928,2815,25,23.185,35.127,2,193,2,2.1,2,2.2,2,-999,9,0.23,2,-999,9,-999,9,1995.8,2,2307,2,317,2,20,-999,-999,9,23.1799
  316N19831007, A13.5,2,1,27,2,19831008,0,4.36,-3.928,2815,52,16.971,35.783,2,144,2,5.4,2,13.1,2,-999,9,0.94,2,0.999,2,0.473,2,2128,2,2349,2,530,2,20,-999,-999,9,16.9624
  316N19831007, A13.5,2,1,28,2,19831008,0,4.36,-3.928,2815,77,15.924,35.648,2,110,2,7.4,2,18.2,2,-999,9,1.19,2,0.738,2,0.369,2,2156,2,2338,2,654,2,20,-999,-999,9,15.9118
  316N19831007, A13.5,2,1,29,2,19831008,0,4.36,-3.928,2815,102,15.488,35.608,2,103,2,7.5,2,19.4,2,-999,9,1.26,2,-999,9,0.344,2,2155,2,2327,2,689,2,20,-999,-999,9,15.4722
  316N19831007, A13.5,2,1,29,2,19831008,0,4.36,-3.928,2815,102,15.488,35.608,2,103,2,7.5,2,19.4,2,-999,9,1.26,2,0.671,2,0.337,2,2155,2,2327,2,689,2,20,-999,-999,9,15.4722
  316N19831007, A13.5,2,1,30,2,19831008,0,4.36,-3.928,2815,151,14.631,35.524,2,95,2,8.7,2,21.2,2,-999,9,1.35,2,0.574,2,0.287,2,2166,2,2326,2,741,2,20,-999,-999,9,14.6084
  316N19831007, A13.5,2,1,31,2,19831008,0,4.36,-3.928,2815,201,13.867,35.398,2,77,2,10.2,2,24.6,2,-999,9,1.52,2,0.417,2,0.201,2,2190.1,2,2325,2,866,2,20,-999,-999,9,13.838
  316N19831007, A13.5,2,1,32,2,19831008,0,4.36,-3.928,2815,251,12.414,35.222,2,59,2,12.5,2,29.1,2,-999,9,1.76,2,-999,9,0.113,2,2207.1,2,2311,2,1052,2,20,-999,-999,9,12.3804
  316N19831007, A13.5,2,1,33,2,19831008,0,4.36,-3.928,2815,301,10.255,34.99,2,54,2,16,2,33.4,2,-999,9,1.99,2,-999,9,-999,9,2223.1,2,2299,2,1272,2,20,-999,-999,9,10.2193
  316N19831007, A13.5,2,1,34,2,19831008,0,4.36,-3.928,2815,376,8.866,34.832,2,65,2,18.1,2,35.2,2,-999,9,2.11,2,0.027,2,-999,9,2227.1,2,2299,2,1313,2,20,-999,-999,9,8.8252
