EXPOCODE,SECT_ID,STNNBR,CASTNO,BTLNBR,BTLNBR_FLAG_W,DATE,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_SWS,PH_TEMP,PH_SWS_FLAG_W,CHLORA,CHLORA_FLAG_W,PHAEO,PHAEO_FLAG_W,THETA
,,,,,,,,,METERS,DBARS,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,PPM,,,DEGC,,UG/L,,UG/L,,DEGC
  35LU19950909, AR04g,     5,  1,      4,2,19950910,  5.9067, -51.3527,   20,   1096.0,   4.9388,  34.7971,2,  34.8045,2,    165.8,2,    166.5,2,    26.67,2,    29.23,2,     0.00,2,     2.03,2,    0.046,2,    0.003,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8467
  35LU19950909, AR04g,     5,  1,      3,2,19950910,  5.9067, -51.3527,   20,   1195.8,   4.9541,  34.8732,2,  34.8840,2,    179.9,2,    183.5,2,    23.87,2,    26.31,2,     0.00,2,     1.82,2,    0.078,2,    0.019,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8525
  35LU19950909, AR04g,     5,  1,      2,2,19950910,  5.9067, -51.3527,   20,   1196.1,   4.9542,  34.8736,2,  34.8840,2,    180.0,2,    183.7,2,    23.79,2,    26.26,2,     0.00,2,     1.82,2,    0.082,2,    0.021,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.8525
  35LU19950909, AR04g,     5,  1,      1,2,19950910,  5.9067, -51.3527,   20,   1261.7,   4.9052,  34.9644,2,  34.9613,2,    203.5,2,    206.0,2,    20.18,2,    22.96,2,     0.00,2,     1.60,2,    0.208,2,    0.133,2,   -999.0,9,   -999.0,9,-999.0000,  -999.00,9,  -999.00,9,  -999.00,9,   4.7977
  35LU19950909, AR04g,     6,  1,     18,2,19950910,  5.9713, -51.3000,   20,      1.3,  28.2767,  32.8403,2,  33.3140,2,    204.8,2,    205.8,2,  -999.00,9,  -999.00,9,  -999.00,9,  -999.00,9, -999.000,9, -999.000,9,   1851.4,2,   -999.0,9,   8.1594,    25.00,2,     0.05,2,     0.05,2,  28.2764
  35LU19950909, AR04g,     6,  1,     17,2,19950910,  5.9713, -51.3000,   20,     39.6,  27.0420,  36.1506,2,  36.1460,2,    195.6,2,    199.1,2,     0.86,2,     0.21,2,     0.00,2,     0.04,2, -999.000,9, -999.000,9,   2011.3,2,   -999.0,9,   8.1020,    25.00,2,  -999.00,9,  -999.00,9,  27.0329
  35LU19950909, AR04g,     6,  1,     16,2,19950910,  5.9713, -51.3000,   20,     72.5,  26.4553,  36.2960,2,  36.2937,2,    195.1,2,    197.2,2,     0.65,2,     0.24,2,     0.20,2,     0.07,2, -999.000,9, -999.000,9,   2039.4,2,   -999.0,9,   8.0943,    25.00,2,  -999.00,9,  -999.00,9,  26.4388
  35LU19950909, AR04g,     6,  1,     15,2,19950910,  5.9713, -51.3000,   20,     97.0,  26.2555,  36.3049,2,  36.3010,2,    195.8,2,    195.4,2,     0.65,2,     0.34,2,     0.30,2,     0.08,2, -999.000,9, -999.000,9,   2036.6,2,   -999.0,9,   8.0922,    25.00,2,  -999.00,9,  -999.00,9,  26.2336
  35LU19950909, AR04g,     6,  1,     14,2,19950910,  5.9713, -51.3000,   20,    172.1,  17.4525,  35.7605,2,  36.2740,0,    183.4,2,    184.3,2,     1.60,2,     3.42,2,     0.09,2,     0.29,2, -999.000,9, -999.000,9,   2070.1,2,   -999.0,9,   7.9632,    25.00,2,  -999.00,9,  -999.00,9,  17.4234
  35LU19950909, AR04g,     6,  1,     13,2,19950910,  5.9713, -51.3000,   20,    247.3,  14.0120,  35.6041,2,  35.6450,2,    124.3,2,    124.1,2,     7.89,2,    19.26,2,     0.01,2,     1.20,2, -999.000,9, -999.000,9,   2174.9,2,   -999.0,9,   7.7971,    25.00,2,  -999.00,9,  -999.00,9,  13.9760
  35LU19950909, AR04g,     6,  1,     12,2,19950910,  5.9713, -51.3000,   20,    398.6,   7.5100,  34.6187,2,  34.6667,2,    147.8,2,    147.9,2,    18.20,2,    29.63,2,     0.02,2,     1.96,2, -999.000,9, -999.000,9,   2209.1,2,   -999.0,9,   7.6788,    25.00,2,  -999.00,9,  -999.00,9,   7.4708
