BOTTLE,20140922CDIACAK
#code : jjward hyd_to_exchange.pl
#original files copied from HTML directory: Aug. 19,2002
#original HYD file: a06hy.txt   Mon Aug 19 12:58:19 2002
#original SUM file: a06su.txt   Mon Aug 19 13:04:08 2002
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,PH_TOT,PH_TOT_FLAG_W,PH_TMP,CHLA,CHLA_FLAG_W,OXYNIT,OXYNIT_FLAG_W,ARGON,ARGON_FLAG_W,CTDRAW,PHAEO,PHAEO_FLAG_W,THETA,METHAN,METHAN_FLAG_W,AZOTE,AZOTE_FLAG_W
,,,,,,,,,,,,DBAR,DEG C,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,%,,UMOL/KG,,UATM,,,,DEG C,UG/L,,NMOL/KG,,UMOL/KG,,DBAR,UG/L,,DEG C,NMOL/KG,,UMOL/KG,
 35A3CITHER1_2,   A06,122,1,13,13,2,19930214,19,5.8058,-51.3023,816,24.9,26.75,36.338,2,36.342,3,205,2,202.4,2,1.77,2,0,2,0,2,0.05,2,1.797,2,0.962,2,-999,9,-999,5,-1,2,2035,2,-999,9,8.0908,2,25,-999,9,-999,9,10.3,2,31,-999,9,26.7443,-999,9,384,2
 35A3CITHER1_2,   A06,122,1,12,12,2,19930214,19,5.8058,-51.3023,816,44.6,26.751,36.349,2,36.357,3,203.9,2,207.3,2,1.78,2,0.01,2,0,2,0.05,2,1.799,2,0.96,2,-999,9,1.63,1,-0.42,2,2032.1,2,-999,9,8.0925,2,25,-999,9,-999,9,10.31,2,51,-999,9,26.7408,-999,9,383.8,2
 35A3CITHER1_2,   A06,122,1,11,11,2,19930214,19,5.8058,-51.3023,816,65.5,26.756,36.368,2,36.37,2,200.9,2,201.8,2,1.75,2,0.01,2,0,2,0.06,2,1.812,2,0.967,2,-999,9,-999,5,-0.41,2,2053.2,2,-999,9,8.0872,2,25,-999,9,-999,9,10.28,2,72,-999,9,26.741,-999,9,383.2,2
 35A3CITHER1_2,   A06,122,1,10,10,2,19930214,19,5.8058,-51.3023,816,94,25.844,36.431,2,36.432,2,194.8,2,198,2,2.01,2,0.84,2,0.14,2,0.17,2,1.806,2,0.963,2,0.73,2,1.68,1,-0.24,2,2082,2,-999,9,8.0608,2,25,-999,9,-999,9,10.48,2,100,-999,9,25.823,-999,9,390.4,2
 35A3CITHER1_2,   A06,122,1,9,9,2,19930214,19,5.8058,-51.3023,816,143.3,17.703,35.942,2,35.975,3,177.8,2,171,3,4.77,2,9.51,2,0.01,2,0.68,2,1.719,2,0.881,2,-999,9,1.71,1,1.18,2,2132.3,2,-999,9,7.9145,2,25,-999,9,-999,9,12.06,2,150,-999,9,17.6785,-999,9,443.1,2
 35A3CITHER1_2,   A06,122,1,7,7,2,19930214,19,5.8058,-51.3023,816,194.2,11.126,35.05,2,35.046,2,154.3,2,155.3,2,10.05,2,20.95,2,0,2,1.35,2,1.141,2,0.571,2,-999,9,-999,9,-999,9,2167.7,2,-999,9,7.7514,2,25,-999,9,-999,9,13.46,2,201,-999,9,11.1019,-999,9,493.4,2
 35A3CITHER1_2,   A06,122,1,8,8,2,19930214,19,5.8058,-51.3023,816,194.5,11.101,34.991,2,-999,9,154.3,2,158.5,2,-999,9,-999,9,-999,9,-999,9,1.163,2,0.585,2,-999,9,1.74,1,2.64,2,-999,9,-999,9,-999,9,-999,-999,9,-999,9,13.49,2,201,-999,9,11.0769,-999,9,493.1,2
 35A3CITHER1_2,   A06,122,1,6,6,2,19930214,19,5.8058,-51.3023,816,292.3,9.808,34.899,2,34.898,2,143.3,2,144,2,12.68,2,25.13,2,0,2,1.59,2,0.816,2,0.406,2,0.27,2,1.74,1,2.57,2,2182,2,-999,9,7.6961,2,25,-999,9,-999,9,13.82,2,299,-999,9,9.7744,-999,9,507.3,2
 35A3CITHER1_2,   A06,122,1,5,5,2,19930214,19,5.8058,-51.3023,816,393,8.493,34.744,2,34.739,2,148.3,2,145,2,15.39,2,27.78,2,0,2,1.77,2,0.631,2,0.32,2,0.2,2,1.75,1,3.09,2,2198.3,2,-999,9,7.6601,2,25,-999,9,-999,9,14.24,2,400,-999,9,8.4514,-999,9,517.6,2
 35A3CITHER1_2,   A06,122,1,4,4,2,19930214,19,5.8058,-51.3023,816,493.6,7.368,34.656,2,34.654,2,144.8,2,141.9,2,18.82,2,30.52,2,0,2,1.93,2,0.407,2,0.214,2,-999,9,-999,9,-999,9,2206.1,2,-999,9,7.628,2,25,-999,9,-999,9,14.45,2,501,-999,9,7.3197,-999,9,527.4,2
