BOTTLE,20061130WHPSIODBK
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20061129
#original HYD file: a23hy.txt   Thu Nov 30 11:26:30 2006
#original SUM file: a23su.txt   Wed Nov 29 16:06:37 2006
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDRAW,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,THETA,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CFC113,CFC113_FLAG_W,CCL4,CCL4_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,NEON,NEON_FLAG_W,TCARBN,TCARBN_FLAG_W,PCO2,PCO2_FLAG_W,REVPRS,HELIER,TRITER,REVTMP,NEONER,DELHER
,,,,,,,,,,,,,DBAR,ITS90,PSS78,,PSS78,,UMOL/KG,,DEG C,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,NMOL/KG,,UMOL/KG,,UATM@4C,,DBAR,NMOL/KG,TU,ITS90,NMOL/KG,PERCNT
      74JC10_1,   A23,     2,  1,    215,     15,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.7,   0.1804,  34.6769,2,  34.6758,2,    226.3,3,  0.1364,    205.6,2,   125.36,2,    32.42,2,     2.34,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    217,     17,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.7,   0.1806,  34.6773,2,  34.6762,2,    226.3,3,  0.1366,    204.6,2,   124.97,2,    32.20,2,     2.34,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    204,      4,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.8,   0.1808,  34.6773,2,  34.6768,2,    226.3,3,  0.1368,    204.1,2,   125.65,2,    32.32,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,   1.8600,6,     8.00,6,   8.176,6,   -999.0,9,   -999.0,9,   967.0,  0.0070,-999.000,   0.174,   0.025,   0.300
      74JC10_1,   A23,     2,  1,    213,     13,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.8,   0.1801,  34.6770,2,  34.6776,2,    226.3,3,  0.1361,    204.6,2,   125.84,2,    32.34,2,     2.34,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    219,     19,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    968.8,   0.1808,  34.6773,2,  34.6774,2,    226.3,3,  0.1368,    204.4,2,   125.31,2,    32.36,2,     2.33,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    218,     18,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    969.0,   0.1805,  34.6770,2,  34.6772,2,    226.3,3,  0.1365,    205.8,2,   126.19,2,    32.14,2,     2.30,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    223,     23,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    969.0,   0.1805,  34.6777,2,  34.6774,2,    227.2,3,  0.1365,    205.0,2,   124.87,2,    32.26,2,     2.30,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    221,     21,2,19950328,1005,-65.3485, -25.0135, 4954,    974,    969.1,   0.1807,  34.6770,2,  34.6758,2,    227.2,3,  0.1367,    204.2,2,   125.84,2,    32.27,2,     2.33,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    216,     16,2,19950328,1005,-65.3485, -25.0135, 4954,    975,    969.4,   0.1799,  34.6773,2,  34.6770,2,    227.2,3,  0.1359,    204.4,2,   125.02,2,    31.95,2,     2.28,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
      74JC10_1,   A23,     2,  1,    224,     24,2,19950328,1005,-65.3485, -25.0135, 4954,    975,    969.4,   0.1807,  34.6768,2,  34.6774,2,    227.2,3,  0.1367,    204.2,2,   124.72,2,    32.10,2,     2.32,2, -999.000,9, -999.000,9, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,-999.000,9,   -999.0,9,   -999.0,9,  -999.0,-999.0000,-999.000,-999.000,-999.000,-999.000
